@relation javax_xml_transform

@attribute callerFile string
@attribute callerPackage string
@attribute fqCaller string
@attribute fqCalls string

@data
'Activiti.Activiti.BpmnXMLConverter','org.activiti.bpmn.converter','org.activiti.bpmn.converter.BpmnXMLConverter.validateModel(org.activiti.bpmn.converter.util.InputStreamProvider)','javax.xml.transform.stream.StreamSource.<init>'
'Activiti.Activiti.BpmnXMLConverter','org.activiti.bpmn.converter','org.activiti.bpmn.converter.BpmnXMLConverter.validateModel(javax.xml.stream.XMLStreamReader)','javax.xml.transform.stax.StAXSource.<init>'
'OpenFeign.feign.JAXBDecoder','feign.jaxb','feign.jaxb.JAXBDecoder.decode(feign.Response,java.lang.reflect.Type)','javax.xml.transform.sax.SAXSource.<init>'
'alibaba.fastjson.MiscCodec','com.alibaba.fastjson.serializer','com.alibaba.fastjson.serializer.MiscCodec.toString(UNRESOLVED.org.w3c.dom.Node)','javax.xml.transform.TransformerFactory.newInstance javax.xml.transform.TransformerFactory.newTransformer javax.xml.transform.dom.DOMSource.<init> javax.xml.transform.stream.StreamResult.<init> javax.xml.transform.Transformer.transform'
'antlr.antlr4.BaseCSharpTest','org.antlr.v4.test.runtime.csharp','org.antlr.v4.test.runtime.csharp.BaseCSharpTest.createProject()','javax.xml.transform.TransformerFactory.newInstance javax.xml.transform.Transformer.setOutputProperty javax.xml.transform.dom.DOMSource.<init> javax.xml.transform.stream.StreamResult.<init> javax.xml.transform.Transformer.transform'
'apache.jmeter.XPathExtractor','org.apache.jmeter.extractor','org.apache.jmeter.extractor.XPathExtractor.process()','javax.xml.transform.TransformerException.getLocalizedMessage'
'apache.jmeter.XPathFileContainer','org.apache.jmeter.functions','org.apache.jmeter.functions.XPathFileContainer.load(java.lang.String)','javax.xml.transform.TransformerException | org.xml.sax.SAXException | javax.xml.parsers.ParserConfigurationException | java.io.IOException.toString'
'apache.jmeter.XPathUtil','org.apache.jmeter.util','org.apache.jmeter.util.XPathUtil.getNodeContent(org.w3c.dom.Node)','javax.xml.transform.TransformerFactory.newInstance javax.xml.transform.Transformer.setOutputProperty javax.xml.transform.dom.DOMSource.<init> javax.xml.transform.stream.StreamResult.<init> javax.xml.transform.Transformer.transform javax.xml.transform.TransformerException.getMessageAndLocation'
'apache.jmeter.XPathUtil','org.apache.jmeter.util','org.apache.jmeter.util.XPathUtil.putValuesForXPathInListUsingSaxon(java.lang.String,java.lang.String,java.util.List<java.lang.String>,boolean,int,java.lang.String)','javax.xml.transform.sax.SAXSource.<init>'
'apache.jmeter.XPathUtil','org.apache.jmeter.util','org.apache.jmeter.util.XPathUtil.computeAssertionResult(org.apache.jmeter.assertions.AssertionResult,org.w3c.dom.Document,java.lang.String,boolean)','javax.xml.transform.TransformerException.getMessage'
'apache.jmeter.XPathUtil','org.apache.jmeter.util','org.apache.jmeter.util.XPathUtil.formatXml(java.lang.String)','javax.xml.transform.TransformerFactory.newInstance javax.xml.transform.Transformer.setOutputProperty javax.xml.transform.Transformer.setOutputProperty javax.xml.transform.sax.SAXSource.<init> javax.xml.transform.stream.StreamResult.<init> javax.xml.transform.Transformer.transform'
'apache.jmeter.XPathWrapper','org.apache.jmeter.functions','org.apache.jmeter.functions.XPathWrapper.open(java.lang.String,java.lang.String)','javax.xml.transform.TransformerException | org.xml.sax.SAXException | javax.xml.parsers.ParserConfigurationException | java.io.IOException.getLocalizedMessage'
'apereo.cas.DefaultRelyingPartyTokenProducer','org.apereo.cas.ws.idp.services','org.apereo.cas.ws.idp.services.DefaultRelyingPartyTokenProducer.serializeRelyingPartyToken(org.w3c.dom.Element)','javax.xml.transform.TransformerFactory.newInstance javax.xml.transform.dom.DOMSource.<init> javax.xml.transform.stream.StreamResult.<init>'
'apereo.cas.SamlUtils','org.apereo.cas.support.saml','org.apereo.cas.support.saml.SamlUtils.transformSamlObject(org.apereo.cas.support.saml.OpenSamlConfigBean,org.opensaml.core.xml.XMLObject,boolean)','javax.xml.transform.dom.DOMSource.<init> javax.xml.transform.stream.StreamResult.<init> javax.xml.transform.TransformerFactory.newInstance'
